Date,Day,5p,6p,7p,8p,9p,10p
2017-10-27,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-28,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-10-29,Sunday,MSNBC Live,Meet the Press,Kasie DC (2 hours),,Dateline Extra (2 hours),
2017-10-30,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-10-31,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-11-01,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-11-02,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-11-03,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-11-04,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-11-05,Sunday,MSNBC Live,Richard Engel on Assignment,Kasie DC (2 hours),,Dateline Extra,
2017-11-06,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-11-07,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
