Date,Day,5p,6p,7p,8p,9p,10p
2017-10-29,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-10-30,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-10-31,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-01,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-02,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-03,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-04,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-11-05,Sunday,The Greg Gutfeld Show,Special Report With Bret Baier,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-11-06,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-07,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-08,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-09,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-10,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-11,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-11-12,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-11-13,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-14,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-15,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-16,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-17,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-18,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-11-19,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-11-20,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-21,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-22,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-23,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,,,
2017-11-24,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-25,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-11-26,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-11-27,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-28,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-29,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-11-30,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-01,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-02,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-12-03,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-12-04,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-05,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-06,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-07,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-08,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2017-12-09,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
